Approved,Corrected,CriticalApproved,Disapproved,Duplicate,HighlyApproved,Irrelevant,NoData,NotSeen,Seen,"_id","_index","_score","_type",editor,timestamp
"16,230","13,602",0,"20,239","3,339",0,48,"4,173",24,250,"-d52-okBnjF88R-CcJaO","stalin_operation_statuses_stats",0,"_doc","niloofar.khosravi","Aug 15, 2023 @ 18:30:13.388"
"17,387","11,212",0,"17,571","1,905",1,21,"4,347",16,340,"9N52-okBnjF88R-CbJZv","stalin_operation_statuses_stats",0,"_doc","elham.nasimzadeh","Aug 15, 2023 @ 18:30:12.323"
"13,741","15,876",0,"15,226","2,714",0,18,"5,994",126,237,"8d52-okBnjF88R-Ca5b-","stalin_operation_statuses_stats",0,"_doc","fattaneh.kia","Aug 15, 2023 @ 18:30:12.220"
"15,800","9,821",0,"15,103","2,888",0,32,"7,572",111,249,"7952-okBnjF88R-Ca5ah","stalin_operation_statuses_stats",0,"_doc","mahta.bakhshipour","Aug 15, 2023 @ 18:30:12.128"
"22,636","16,917",35,"30,602","3,604",0,171,"5,646",2,351,"7d52-okBnjF88R-Ca5YJ","stalin_operation_statuses_stats",0,"_doc","Nastaran.Sabouri","Aug 15, 2023 @ 18:30:11.976"
"13,443","15,619",0,"14,890","2,692",0,17,"5,978",230,213,"QoLd5YkBnjF88R-CFD8a","stalin_operation_statuses_stats",0,"_doc","fattaneh.kia","Aug 11, 2023 @ 18:30:18.391"
"15,498","9,700",0,"14,821","2,868",0,32,"7,508",274,225,"QYLd5YkBnjF88R-CEz_k","stalin_operation_statuses_stats",0,"_doc","mahta.bakhshipour","Aug 11, 2023 @ 18:30:18.337"
"15,964","13,415",0,"19,991","3,320",0,48,"4,155",145,218,"PYLd5YkBnjF88R-CEz-X","stalin_operation_statuses_stats",0,"_doc","niloofar.khosravi","Aug 11, 2023 @ 18:30:18.260"
"22,080","16,670",35,"30,056","3,577",0,171,"5,642",2,331,"O4Ld5YkBnjF88R-CEz9a","stalin_operation_statuses_stats",0,"_doc","Nastaran.Sabouri","Aug 11, 2023 @ 18:30:18.198"
"16,961","10,973",0,"17,130","1,873",1,21,"4,308",148,285,"OoLd5YkBnjF88R-CEz8K","stalin_operation_statuses_stats",0,"_doc","elham.nasimzadeh","Aug 11, 2023 @ 18:30:18.119"
